"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1";35793;1987;3;11;3;65,66875;-24,4395833333333;34;"F";1;2;21;NA;NA;NA;NA;23
"2";35793;1987;3;11;3;65,66875;-24,4395833333333;34;"F";1;3;22;NA;NA;NA;NA;23
"3";35793;1987;3;11;3;65,66875;-24,4395833333333;34;"F";1;3;25;NA;NA;NA;NA;23
"4";35793;1987;3;11;3;65,66875;-24,4395833333333;34;"F";1;3;22;NA;NA;NA;NA;23
"5";35997;1987;3;18;49;65,9245833333333;-24,8915;87,5;"F";1;9;48;NA;NA;NA;NA;23
"6";35997;1987;3;18;49;65,9245833333333;-24,8915;87,5;"F";1;7;40;NA;NA;NA;NA;23
"7";35994;1987;3;19;52;66,0358333333333;-24,5980833333333;89;"F";2;8;48;NA;NA;NA;NA;23
"8";35994;1987;3;19;52;66,0358333333333;-24,5980833333333;89;"F";2;12;48;NA;NA;NA;NA;23
"9";35994;1987;3;19;52;66,0358333333333;-24,5980833333333;89;"F";1;10;46;NA;NA;NA;NA;23
"10";35993;1987;3;19;53;65,99375;-24,5374166666667;85,5;"F";1;8;47;NA;NA;NA;NA;23
"11";35992;1987;3;19;54;66,0920833333333;-24,2439166666667;55,5;"M";1;4;24;NA;NA;NA;NA;23
"12";35988;1987;3;19;58;66,0923333333333;-24,9978333333333;118,5;"F";2;11;51;NA;NA;NA;NA;23
"13";35981;1987;3;21;65;66,2794166666667;-23,2251666666667;83;"M";1;3;19;NA;NA;NA;NA;23
"14";35792;1987;3;13;4;64,9896666666667;-23,8945833333333;244;"F";1;5;33;NA;NA;NA;NA;23
"15";35792;1987;3;13;4;64,9896666666667;-23,8945833333333;244;"M";2;6;35;NA;NA;NA;NA;23
"16";35792;1987;3;13;4;64,9896666666667;-23,8945833333333;244;"F";1;6;33;NA;NA;NA;NA;23
"17";35973;1987;3;24;73;66,26275;-24,5803333333333;87;"F";2;8;51;NA;NA;NA;NA;23
"18";35971;1987;3;26;75;65,8750833333333;-25,5485833333333;151;"F";2;9;50;NA;NA;NA;NA;23
"19";35952;1987;3;27;94;66,458;-24,7435833333333;116,5;"F";2;7;51;NA;NA;NA;NA;23
