"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1";50302;1992;3;14;74;66,912;-22,1633333333333;162,5;"M";1;2;35;NA;NA;NA;NA;3
"2";50388;1992;3;17;110;66,7735;-22,6776666666667;94,5;"F";1;3;44;NA;NA;NA;NA;3
"3";50616;1992;3;7;19;65,6094166666667;-26,6905833333333;203,5;"M";1;7;77;NA;NA;NA;NA;3
"4";50617;1992;3;7;20;65,6608333333333;-26,5891666666667;194;"M";1;7;77;NA;NA;NA;NA;3
"5";50617;1992;3;7;20;65,6608333333333;-26,5891666666667;194;"F";2;8;83;NA;NA;NA;NA;3
"6";50515;1992;3;7;21;65,77725;-26,69725;294;"M";1;7;69;NA;NA;NA;NA;3
"7";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"M";1;3;46;NA;NA;NA;NA;3
"8";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"M";1;3;47;NA;NA;NA;NA;3
"9";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"F";1;3;44;NA;NA;NA;NA;3
"10";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"F";1;3;45;NA;NA;NA;NA;3
"11";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"F";1;3;46;NA;NA;NA;NA;3
"12";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"M";1;3;48;NA;NA;NA;NA;3
"13";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"F";1;3;49;NA;NA;NA;NA;3
"14";50524;1992;3;8;30;65,7603333333333;-25,1220833333333;80;"F";1;3;44;NA;NA;NA;NA;3
"15";50525;1992;3;8;31;65,7225;-25,404;174;"M";1;3;46;NA;NA;NA;NA;3
"16";50535;1992;3;10;41;66,10425;-24,2258333333333;60;"F";1;2;34;NA;NA;NA;NA;3
"17";50542;1992;3;10;48;66,3621666666667;-23,8483333333333;119,5;"M";1;5;61;NA;NA;NA;NA;3
"18";50543;1992;3;10;49;66,3013333333333;-23,9338333333333;79;"M";1;4;45;NA;NA;NA;NA;3
"19";50543;1992;3;10;49;66,3013333333333;-23,9338333333333;79;"M";1;5;52;NA;NA;NA;NA;3
"20";50607;1992;3;6;10;65,1359166666667;-26,215;165,5;"M";1;2;34;NA;NA;NA;NA;3
"21";50610;1992;3;7;13;65,2025;-27,0243333333333;243,5;"F";1;4;55;NA;NA;NA;NA;3
"22";50611;1992;3;7;14;65,3915833333333;-27,0015;260;"M";1;4;57;NA;NA;NA;NA;3
"23";50615;1992;3;7;18;65,65925;-26,2528333333333;181,5;"F";1;7;78;NA;NA;NA;NA;3
"24";50616;1992;3;7;19;65,6094166666667;-26,6905833333333;203,5;"M";2;5;64;NA;NA;NA;NA;3
"25";50616;1992;3;7;19;65,6094166666667;-26,6905833333333;203,5;"M";2;6;75;NA;NA;NA;NA;3
"26";50616;1992;3;7;19;65,6094166666667;-26,6905833333333;203,5;"M";1;6;73;NA;NA;NA;NA;3
