"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1004";316105;2008;3;10;74;66,5543333333333;-23,6578333333333;133;"F";1;8;37;658;NA;NA;NA;24
"1005";316105;2008;3;10;74;66,5543333333333;-23,6578333333333;133;"F";1;6;37;627;NA;NA;NA;24
"1006";316105;2008;3;10;74;66,5543333333333;-23,6578333333333;133;"F";1;6;35;608;NA;NA;NA;24
"1007";315895;2008;3;3;54;65,6185833333333;-26,69175;205;"F";1;5;24;125;NA;NA;NA;24
"1008";315895;2008;3;3;54;65,6185833333333;-26,69175;205;"F";1;5;23;220;NA;NA;NA;24
"1009";315895;2008;3;3;54;65,6185833333333;-26,69175;205;"F";1;3;15;50,9;NA;NA;NA;24
"1010";315896;2008;3;3;55;65,6819166666667;-26,561;172,5;"M";2;7;28;245;NA;NA;NA;24
"1011";315896;2008;3;3;55;65,6819166666667;-26,561;172,5;"M";2;3;16;38;NA;NA;NA;24
"1012";315896;2008;3;3;55;65,6819166666667;-26,561;172,5;"F";1;2;10;12;NA;NA;NA;24
"1013";315883;2008;3;2;42;65,4176666666667;-26,60775;186,5;"F";1;2;15;29;NA;NA;NA;24
"1014";315883;2008;3;2;42;65,4176666666667;-26,60775;186,5;"M";1;5;21;78;NA;NA;NA;24
"1015";315883;2008;3;2;42;65,4176666666667;-26,60775;186,5;"F";1;3;16;35;NA;NA;NA;24
"1016";315884;2008;3;2;43;65,3885;-26,44225;159,5;"F";1;5;30;327;NA;NA;NA;24
"1017";315884;2008;3;2;43;65,3885;-26,44225;159,5;"M";2;5;27;258;NA;NA;NA;24
"1018";315884;2008;3;2;43;65,3885;-26,44225;159,5;"M";2;4;19;61;NA;NA;NA;24
"1019";315884;2008;3;2;43;65,3885;-26,44225;159,5;"F";1;5;20;162;NA;NA;NA;24
"1020";315885;2008;3;3;44;65,1495;-26,5085;166;"F";1;7;28;243;NA;NA;NA;24
"1021";315885;2008;3;3;44;65,1495;-26,5085;166;"M";2;NA;30;265;NA;NA;NA;24
"1022";315885;2008;3;3;44;65,1495;-26,5085;166;"M";2;4;19;38;NA;NA;NA;24
"1023";315943;2008;3;2;3;64,0640833333333;-14,7816666666667;114;"F";2;8;36;459;NA;NA;NA;24
"1024";315943;2008;3;2;3;64,0640833333333;-14,7816666666667;114;"F";2;8;37;552;NA;NA;NA;24
"1025";315943;2008;3;2;3;64,0640833333333;-14,7816666666667;114;"F";2;7;35;483;NA;NA;NA;24
