"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";1;3;17;NA;NA;NA;NA;9
"2";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";2;9;52;NA;NA;NA;NA;9
"3";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";2;15;75;NA;NA;NA;NA;9
"4";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";NA;7;38;NA;NA;NA;NA;9
"5";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"F";2;13;64;NA;NA;NA;NA;9
"6";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";2;18;79;NA;NA;NA;NA;9
"7";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"F";1;9;45;NA;NA;NA;NA;9
"8";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"F";2;12;70;NA;NA;NA;NA;9
"9";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"F";1;8;48;NA;NA;NA;NA;9
"10";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";1;7;39;NA;NA;NA;NA;9
"11";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";2;9;63;NA;NA;NA;NA;9
"12";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"F";2;12;68;NA;NA;NA;NA;9
"13";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"M";2;10;53;NA;NA;NA;NA;9
"14";48200;1991;3;12;27;66,3685;-23,8363333333333;119;"F";1;4;21;NA;NA;NA;NA;9
"15";48200;1991;3;12;27;66,3685;-23,8363333333333;119;"F";1;5;28;NA;NA;NA;NA;9
"16";48453;1991;3;12;45;66,5424166666667;-20,7094166666667;317,5;"F";1;10;48;NA;NA;NA;NA;9
"17";48452;1991;3;12;46;66,6988333333333;-21,0350833333333;214;"F";2;12;59;NA;NA;NA;NA;9
"18";48452;1991;3;12;46;66,6988333333333;-21,0350833333333;214;"M";1;10;50;NA;NA;NA;NA;9
"19";48452;1991;3;12;46;66,6988333333333;-21,0350833333333;214;"F";1;11;55;NA;NA;NA;NA;9
"20";48450;1991;3;12;48;66,8918333333333;-21,07975;140;"M";1;8;33;NA;NA;NA;NA;9
"21";48450;1991;3;12;48;66,8918333333333;-21,07975;140;"M";1;4;22;NA;NA;NA;NA;9
"22";48450;1991;3;12;48;66,8918333333333;-21,07975;140;"F";1;4;26;NA;NA;NA;NA;9
"23";48450;1991;3;12;48;66,8918333333333;-21,07975;140;"M";1;6;34;NA;NA;NA;NA;9
"24";48449;1991;3;12;49;66,9510833333333;-20,9635;176;"M";1;6;29;NA;NA;NA;NA;9
"25";48449;1991;3;12;49;66,9510833333333;-20,9635;176;"F";2;8;43;NA;NA;NA;NA;9
"26";48448;1991;3;12;50;67,0709166666667;-20,75625;200,5;"M";2;10;50;NA;NA;NA;NA;9
"27";48444;1991;3;13;54;67,1486666666667;-20,8250833333333;229;"M";2;8;37;NA;NA;NA;NA;9
"28";48443;1991;3;13;55;67,0750833333333;-21,1845833333333;177,5;"M";2;8;39;NA;NA;NA;NA;9
"29";48441;1991;3;13;57;66,9043333333333;-21,829;177,5;"M";1;11;56;NA;NA;NA;NA;9
"30";48199;1991;3;12;28;66,3046666666667;-23,9113333333333;77;"F";1;6;28;NA;NA;NA;NA;9
"31";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;7;39;NA;NA;NA;NA;9
"32";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"M";2;8;38;NA;NA;NA;NA;9
"33";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";2;9;45;NA;NA;NA;NA;9
"34";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";1;7;31;NA;NA;NA;NA;9
"35";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";2;8;39;NA;NA;NA;NA;9
"36";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";2;9;45;NA;NA;NA;NA;9
"37";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"M";1;8;39;NA;NA;NA;NA;9
"38";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";2;9;43;NA;NA;NA;NA;9
"39";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";1;5;27;NA;NA;NA;NA;9
"40";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";1;5;24;NA;NA;NA;NA;9
"41";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";1;6;35;NA;NA;NA;NA;9
"42";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"M";1;7;32;NA;NA;NA;NA;9
"43";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";1;5;27;NA;NA;NA;NA;9
"44";48457;1991;3;12;41;66,6811666666667;-20,0114166666667;141,5;"F";1;5;25;NA;NA;NA;NA;9
"45";48456;1991;3;12;42;66,6826666666667;-20,2225833333333;265;"M";1;7;38;NA;NA;NA;NA;9
"46";48200;1991;3;12;27;66,3685;-23,8363333333333;119;"M";NA;11;56;NA;NA;NA;NA;9
"47";48200;1991;3;12;27;66,3685;-23,8363333333333;119;"M";2;15;76;NA;NA;NA;NA;9
"48";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";2;11;55;NA;NA;NA;NA;9
"49";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;9;48;NA;NA;NA;NA;9
"50";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;11;55;NA;NA;NA;NA;9
"51";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;8;39;NA;NA;NA;NA;9
"52";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;3;15;NA;NA;NA;NA;9
"53";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;4;19;NA;NA;NA;NA;9
"54";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;10;51;NA;NA;NA;NA;9
"55";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;7;36;NA;NA;NA;NA;9
"56";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;7;34;NA;NA;NA;NA;9
"57";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;6;30;NA;NA;NA;NA;9
"58";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;7;31;NA;NA;NA;NA;9
"59";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;11;52;NA;NA;NA;NA;9
"60";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"M";1;5;24;NA;NA;NA;NA;9
"61";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;6;31;NA;NA;NA;NA;9
"62";48482;1991;3;7;16;66,9925;-18,803;180;"F";1;5;26;NA;NA;NA;NA;9
"63";48482;1991;3;7;16;66,9925;-18,803;180;"F";2;10;48;NA;NA;NA;NA;9
"64";48482;1991;3;7;16;66,9925;-18,803;180;"M";2;10;49;NA;NA;NA;NA;9
"65";48482;1991;3;7;16;66,9925;-18,803;180;"F";1;14;17;NA;NA;NA;NA;9
"66";48482;1991;3;7;16;66,9925;-18,803;180;"F";2;12;59;NA;NA;NA;NA;9
"67";48481;1991;3;7;17;67,0366666666667;-18,77275;195;"F";2;9;43;NA;NA;NA;NA;9
"68";48481;1991;3;7;17;67,0366666666667;-18,77275;195;"F";2;12;51;NA;NA;NA;NA;9
"69";48480;1991;3;7;18;66,9658333333333;-18,4699166666667;205;"M";2;12;61;NA;NA;NA;NA;9
"70";48479;1991;3;7;19;67,0154166666667;-18,5039166666667;185;"F";1;9;47;NA;NA;NA;NA;9
"71";48470;1991;3;8;28;66,9759166666667;-20,7960833333333;196,5;"F";2;10;48;NA;NA;NA;NA;9
"72";48201;1991;3;11;26;66,48025;-23,5494166666667;133;"F";1;13;63;NA;NA;NA;NA;9
"73";48201;1991;3;11;26;66,48025;-23,5494166666667;133;"F";1;7;37;NA;NA;NA;NA;9
"74";48466;1991;3;9;32;65,7744166666667;-20,5595;85,5;"F";1;NA;21;NA;NA;NA;NA;9
"75";48464;1991;3;11;34;66,2479166666667;-20,001;138;"F";1;6;29;NA;NA;NA;NA;9
"76";48464;1991;3;11;34;66,2479166666667;-20,001;138;"F";1;6;36;NA;NA;NA;NA;9
"77";48463;1991;3;11;35;66,11825;-19,87;164;"F";1;9;46;NA;NA;NA;NA;9
"78";48458;1991;3;12;40;66,59;-20,1509166666667;97,5;"F";1;8;32;NA;NA;NA;NA;9
"79";48495;1991;3;6;3;66,3516666666667;-19,7775;175,5;"F";2;7;39;NA;NA;NA;NA;9
"80";48493;1991;3;6;5;66,3366666666667;-19,2779166666667;160;"F";2;8;44;NA;NA;NA;NA;9
"81";48493;1991;3;6;5;66,3366666666667;-19,2779166666667;160;"F";2;10;51;NA;NA;NA;NA;9
"82";48491;1991;3;6;7;66,3755;-19,07025;229;"M";2;14;65;NA;NA;NA;NA;9
"83";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"M";1;6;29;NA;NA;NA;NA;9
"84";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"M";1;6;29;NA;NA;NA;NA;9
"85";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"F";1;7;35;NA;NA;NA;NA;9
"86";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"F";1;8;46;NA;NA;NA;NA;9
"87";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"M";1;NA;42;NA;NA;NA;NA;9
"88";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"M";1;8;39;NA;NA;NA;NA;9
"89";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"M";1;11;54;NA;NA;NA;NA;9
"90";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"F";1;6;35;NA;NA;NA;NA;9
"91";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"F";1;7;36;NA;NA;NA;NA;9
"92";48486;1991;3;6;12;66,6809166666667;-19,76425;161;"M";1;4;21;NA;NA;NA;NA;9
