"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1";41379;1989;3;13;58;65,95625;-26,5020833333333;285;"F";2;22;49;NA;NA;NA;NA;19
"2";41374;1989;3;13;63;65,98325;-26,7924166666667;366;"F";2;21;56;NA;NA;NA;NA;19
"3";41368;1989;3;14;69;66,1641666666667;-26,1821666666667;402;"F";2;NA;53;NA;NA;NA;NA;19
"4";41021;1989;3;3;4;64,5568333333333;-12,3450833333333;203;"M";1;7;37;NA;NA;NA;NA;19
"5";41000;1989;3;5;26;63,4698333333333;-15,7083333333333;237;"F";1;19;48;NA;NA;NA;NA;19
"6";40994;1989;3;5;32;63,7741666666667;-14,1883333333333;314;"M";1;9;43;NA;NA;NA;NA;19
"7";40990;1989;3;6;36;64,019;-13,3555833333333;375,5;"F";2;19;51;NA;NA;NA;NA;19
"8";40981;1989;3;7;45;64,1603333333333;-12,8525;351;NA;NA;13;47;NA;NA;NA;NA;19
"9";40966;1989;3;10;60;64,3366666666667;-11,43375;370;"F";2;20;52;NA;NA;NA;NA;19
"10";40965;1989;3;10;61;64,2725;-11,6730833333333;365;"F";2;22;55;NA;NA;NA;NA;19
"11";40965;1989;3;10;61;64,2725;-11,6730833333333;365;"M";1;6;37;NA;NA;NA;NA;19
"12";40965;1989;3;10;61;64,2725;-11,6730833333333;365;"F";2;19;51;NA;NA;NA;NA;19
"13";40964;1989;3;10;62;64,1681666666667;-11,825;366;"F";2;16;50;NA;NA;NA;NA;19
"14";40964;1989;3;10;62;64,1681666666667;-11,825;366;"F";2;20;50;NA;NA;NA;NA;19
"15";40963;1989;3;10;63;64,17825;-11,3820833333333;312;"M";2;13;45;NA;NA;NA;NA;19
"16";40961;1989;3;11;65;63,9416666666667;-11,3054166666667;359,5;"F";2;19;49;NA;NA;NA;NA;19
"17";40959;1989;3;11;67;63,8833333333333;-11,8583333333333;375;"M";1;6;38;NA;NA;NA;NA;19
"18";40954;1989;3;11;72;63,2286666666667;-11,6505833333333;430;"M";1;4;30;NA;NA;NA;NA;19
"19";40952;1989;3;11;74;63,25125;-10,7301666666667;404;"F";1;8;38;NA;NA;NA;NA;19
"20";40947;1989;3;12;79;64,26775;-11,0779166666667;338,5;"F";2;24;52;NA;NA;NA;NA;19
"21";41367;1989;3;14;70;66,1989166666667;-25,8748333333333;238;"F";2;NA;50;NA;NA;NA;NA;19
"22";43651;1989;3;4;13;64,9314166666667;-27,2259166666667;206,5;"M";1;6;30;NA;NA;NA;NA;19
"23";43651;1989;3;4;13;64,9314166666667;-27,2259166666667;206,5;"M";1;6;30;NA;NA;NA;NA;19
"24";43625;1989;3;7;39;63,365;-25,76725;487,5;"F";2;12;39;NA;NA;NA;NA;19
"25";43621;1989;3;7;43;63,8908333333333;-26,3974166666667;307,5;"M";2;6;34;NA;NA;NA;NA;19
"26";43618;1989;3;8;46;64,3991666666667;-26,3931666666667;308;"M";1;4;23;NA;NA;NA;NA;19
"27";43615;1989;3;8;49;64,2196666666667;-25,2861666666667;263,5;"F";2;12;41;NA;NA;NA;NA;19
"28";43603;1989;3;9;62;63,7711666666667;-24,4303333333333;333;"M";1;6;32;NA;NA;NA;NA;19
"29";43603;1989;3;9;62;63,7711666666667;-24,4303333333333;333;"M";1;5;31;NA;NA;NA;NA;19
"30";43602;1989;3;9;63;63,4133333333333;-24,6655;254;"F";1;2;17;NA;NA;NA;NA;19
"31";43601;1989;3;9;64;63,3541666666667;-24,6931666666667;253,5;"M";1;2;16;NA;NA;NA;NA;19
"32";43600;1989;3;10;65;63,1598333333333;-24,9181666666667;314,5;"M";1;3;26;NA;NA;NA;NA;19
"33";43600;1989;3;10;65;63,1598333333333;-24,9181666666667;314,5;"F";1;5;31;NA;NA;NA;NA;19
"34";43600;1989;3;10;65;63,1598333333333;-24,9181666666667;314,5;"M";1;5;27;NA;NA;NA;NA;19
"35";43599;1989;3;10;66;63,0296666666667;-24,3929166666667;385;"M";1;4;30;NA;NA;NA;NA;19
"36";43598;1989;3;10;67;63,1380833333333;-24,2653333333333;297;"F";1;6;32;NA;NA;NA;NA;19
"37";43595;1989;3;10;70;63,1675833333333;-23,8688333333333;398,5;"F";1;6;35;NA;NA;NA;NA;19
"38";43594;1989;3;10;71;63,2530833333333;-23,7161666666667;310,5;"F";1;2;19;NA;NA;NA;NA;19
"39";43592;1989;3;10;73;63,3744166666667;-23,1373333333333;263,5;"F";1;2;21;NA;NA;NA;NA;19
"40";43591;1989;3;10;74;63,23175;-22,779;277;"M";1;3;25;NA;NA;NA;NA;19
"41";43591;1989;3;10;74;63,23175;-22,779;277;"M";1;1;17;NA;NA;NA;NA;19
"42";43590;1989;3;10;75;63,3308333333333;-22,6920833333333;257,5;"F";1;2;20;NA;NA;NA;NA;19
"43";43585;1989;3;11;80;63,1718333333333;-22,2471666666667;247;"F";1;2;21;NA;NA;NA;NA;19
"44";43584;1989;3;11;81;63,0838333333333;-22,23825;356;"M";1;5;30;NA;NA;NA;NA;19
