long,lat,group
-23.12009864,66.11687557,1
-23.10511037,66.10415699,1
-23.12502479,66.07866401,1
-23.11379109,66.06835208,1
-23.17139495,66.06456087,1
-23.15592396,66.05316841,1
-23.16498769,66.04571142,1
-23.04132633,66.09977664,1
-22.98701938,66.07201127,1
-22.98628811,66.01852425,1
-23.03569119,66.00182894,1
-23.08063118,65.96330163,1
-23.04055095,65.96759076,1
-23.034531,65.98331601,1
-22.97172395,66.00952605,1
-22.94326724,66.04779618,1
-22.91912919,66.01385843,1
-22.94163971,65.98594537,1
-22.91251501,65.96891786,1
-22.92508726,65.99069351,1
-22.8788215,66.02242288,1
-22.88681972,66.03716243,1
-22.86099286,66.03402108,1
-22.8620823,66.0062271,1
-22.89295979,65.9686398,1
-22.98522211,65.90761829,1
-22.8723306,65.96131842,1
-22.83178454,66.00426419,1
-22.81205265,65.98756683,1
-22.82098571,65.94355161,1
-22.85632508,65.90554088,1
-22.84172052,65.89077546,1
-22.78238724,65.95072964,1
-22.77549213,65.98556841,1
-22.79065017,66.002804,1
-22.77179143,66.04872016,1
-22.72179309,66.03988452,1
-22.68000883,66.05459467,1
-22.66759644,66.02012799,1
-22.62365826,66.01437137,1
-22.59036226,65.97311318,1
-22.56891745,65.97721044,1
-22.58646052,65.95411154,1
-22.5869636,65.91066283,1
-22.66361232,65.8236884,1
-22.61177947,65.8445407,1
-22.611109,65.86660114,1
-22.56464564,65.90776862,1
-22.56774075,65.92574044,1
-22.53230635,65.94074299,1
-22.51437668,65.98256018,1
-22.49292367,65.941267,1
-22.46658695,65.9519958,1
-22.4442996,65.93617173,1
-22.45064651,65.88971614,1
-22.42408537,65.90000326,1
-22.43777672,65.92169138,1
-22.42188345,65.92968871,1
-22.42514807,65.87776249,1
-22.490278,65.82373712,1
-22.5855594,65.78436066,1
-22.54241485,65.78759916,1
-22.42421637,65.83728869,1
-22.37973719,65.88282421,1
-22.37913946,65.90174723,1
-22.33837289,65.90961624,1
-22.37240168,65.92271472,1
-22.4051547,65.99196311,1
-22.4843009,66.03135683,1
-22.46163717,66.04009954,1
-22.46430347,66.06033785,1
-22.3923227,66.0860053,1
-22.51004753,66.0780419,1
-22.58914176,66.1061498,1
-22.8369508,66.14892057,1
-22.93405898,66.1827693,1
-22.97599953,66.22869663,1
-22.76086511,66.26265381,1
-22.67132653,66.24110428,1
-22.61267121,66.24433438,1
-22.56087889,66.21833351,1
-22.54839811,66.22695306,1
-22.55953836,66.24780488,1
-22.520874,66.23723156,1
-22.51674163,66.24878205,1
-22.36199226,66.27028569,1
-22.5704864,66.26764516,1
-22.45522508,66.30919447,1
-22.50755087,66.33289801,1
-22.50390763,66.31796141,1
-22.58355039,66.28437551,1
-22.7084087,66.29885634,1
-22.66942112,66.34952858,1
-22.60519515,66.36684418,1
-22.68476069,66.35962402,1
-22.75467061,66.31870832,1
-22.83773543,66.31148476,1
-22.82524827,66.33985744,1
-22.79224179,66.34886568,1
-22.78302353,66.36680081,1
-22.96446622,66.29577008,1
-23.02703032,66.29586463,1
-23.19680602,66.34902317,1
-23.18082883,66.35940483,1
-23.08719908,66.34216222,1
-23.02974778,66.35729938,1
-23.02126921,66.38713294,1
-23.06292924,66.38971409,1
-23.13892964,66.42936009,1
-23.09939606,66.4360157,1
-23.05006364,66.41992289,1
-23.02258035,66.43673336,1
-22.95577719,66.43381421,1
-22.92877512,66.44688574,1
-22.95588291,66.46697514,1
-22.84255781,66.46078372,1
-22.68451451,66.41417436,1
-22.60970091,66.44284384,1
-22.61936656,66.46292892,1
-22.60212911,66.46703387,1
-22.52937936,66.44959571,1
-22.51763446,66.43127326,1
-22.44960369,66.42777816,1
-22.43940304,66.44149108,1
-22.47210343,66.46422087,1
-22.46026722,66.46596722,1
-22.4023014,66.45443882,1
-22.36442239,66.39317861,1
-22.26935361,66.37420561,1
-22.27805245,66.36457201,1
-22.23504379,66.3573035,1
-22.25439692,66.34779558,1
-22.23740981,66.33491661,1
-22.19147886,66.34074369,1
-22.23630757,66.31328068,1
-22.20273639,66.2984657,1
-22.23670428,66.269656,1
-22.22718661,66.26327918,1
-22.14952059,66.28028886,1
-22.137734,66.26706583,1
-22.15293579,66.25332238,1
-22.14075904,66.25041652,1
-22.0771773,66.29107065,1
-22.09044561,66.27181484,1
-22.07777005,66.25605125,1
-21.96441043,66.26972566,1
-21.95922265,66.24796711,1
-21.92269974,66.24245674,1
-21.93017674,66.22308102,1
-22.00610925,66.19675453,1
-21.91222144,66.21241131,1
-21.8697842,66.18941414,1
-21.74050687,66.18231217,1
-21.76579087,66.16328613,1
-21.71907752,66.1520368,1
-21.76544153,66.12197838,1
